,시가,고가,저가,종가,거래량,거래대금,등락률,날짜,종목코드,종목명,BPS,PER,PBR,EPS,DIV,DPS
172,0,0,0,0,0,0,0.0,20240301,034220,LG디스플레이,0.0,0.0,0.0,0.0,0.0,0.0
182,0,0,0,0,0,0,0.0,20240301,051910,LG화학,0.0,0.0,0.0,0.0,0.0,0.0
774,0,0,0,0,0,0,0.0,20240301,004000,롯데정밀화학,0.0,0.0,0.0,0.0,0.0,0.0
780,0,0,0,0,0,0,0.0,20240301,011170,롯데케미칼,0.0,0.0,0.0,0.0,0.0,0.0
1038,0,0,0,0,0,0,0.0,20240301,005930,삼성전자,0.0,0.0,0.0,0.0,0.0,0.0
1044,0,0,0,0,0,0,0.0,20240301,029780,삼성카드,0.0,0.0,0.0,0.0,0.0,0.0
1269,0,0,0,0,0,0,0.0,20240301,004170,신세계,0.0,0.0,0.0,0.0,0.0,0.0
1900,0,0,0,0,0,0,0.0,20240301,139480,이마트,0.0,0.0,0.0,0.0,0.0,0.0
2151,0,0,0,0,0,0,0.0,20240301,035720,카카오,0.0,0.0,0.0,0.0,0.0,0.0
2153,0,0,0,0,0,0,0.0,20240301,323410,카카오뱅크,0.0,0.0,0.0,0.0,0.0,0.0
2969,0,0,0,0,0,0,0.0,20240302,034220,LG디스플레이,0.0,0.0,0.0,0.0,0.0,0.0
2979,0,0,0,0,0,0,0.0,20240302,051910,LG화학,0.0,0.0,0.0,0.0,0.0,0.0
3571,0,0,0,0,0,0,0.0,20240302,004000,롯데정밀화학,0.0,0.0,0.0,0.0,0.0,0.0
3577,0,0,0,0,0,0,0.0,20240302,011170,롯데케미칼,0.0,0.0,0.0,0.0,0.0,0.0
3835,0,0,0,0,0,0,0.0,20240302,005930,삼성전자,0.0,0.0,0.0,0.0,0.0,0.0
3841,0,0,0,0,0,0,0.0,20240302,029780,삼성카드,0.0,0.0,0.0,0.0,0.0,0.0
4066,0,0,0,0,0,0,0.0,20240302,004170,신세계,0.0,0.0,0.0,0.0,0.0,0.0
4697,0,0,0,0,0,0,0.0,20240302,139480,이마트,0.0,0.0,0.0,0.0,0.0,0.0
4948,0,0,0,0,0,0,0.0,20240302,035720,카카오,0.0,0.0,0.0,0.0,0.0,0.0
4950,0,0,0,0,0,0,0.0,20240302,323410,카카오뱅크,0.0,0.0,0.0,0.0,0.0,0.0
5766,0,0,0,0,0,0,0.0,20240303,034220,LG디스플레이,0.0,0.0,0.0,0.0,0.0,0.0
